track_id,time,roi_x,roi_y,vacuole_x,vacuole_y,vector_x,vector_y,delta_vector_x,delta_vector_y,delta_roi_x,delta_roi_y,delta_time,delta_roi_length,delta_vector_length,cos_angle
79,127.0,189.77365577333777,386.5010337055586,194.9628595250256,369.0389471594558,5.189203751687842,-17.462086546102796,-0.11845129417412181,-14.47793194181952,0.2263029057673691,-0.8539653223811001,1.0,0.8834420054469965,14.478416488727262,0.964506216451348
79,128.0,189.44644066450277,385.9531848108327,206.72954498846806,364.8757004460508,17.28310432396529,-21.077484364781867,12.093900572277448,-3.615397818679071,-0.3272151088349915,-0.5478488947259166,1.0,0.6381286225380458,12.622738705979863,-0.24539196259192564
79,129.0,189.24360083527395,385.67212010079766,203.91680284174754,384.6180352169759,14.673202006473588,-1.0540848838217585,-2.609902317491702,20.02339948096011,-0.2028398292288216,-0.2810647100350252,1.0,0.34661414793491957,20.192773877824763,-0.7284476602045282
79,130.0,188.82565245990466,385.1102846260581,203.54910911002048,384.4346149145427,14.723456650115821,-0.6756697115154111,0.05025464364223353,0.37841517230634736,-0.4179483753692921,-0.5618354747395529,1.0,0.7002427758639495,0.3817375693316685,-0.8739359180563051
79,131.0,189.7172890688841,384.3573313275602,204.47825491999103,383.9291104310564,14.760965851106931,-0.42822089650377393,0.03750920099110999,0.24744881501163718,0.8916366089794394,-0.7529532984979141,1.0,1.1670280682962353,0.2502755605520741,-0.5233961769735928
79,132.0,189.41914099548669,383.98457698819425,195.70576506800262,382.9947730035209,6.286624072515934,-0.9898039846733582,-8.474341778590997,-0.5615830881695842,-0.2981480733974138,-0.37275433936594027,1.0,0.47732386404487276,8.492929067482603,0.6748948530030366
79,133.0,189.49732616232018,383.2985724906127,195.71498667377688,382.7415113877529,6.2176605114567,-0.5570611028597909,-0.06896356105923473,0.43274288181356724,0.0781851668334923,-0.686004497581564,1.0,0.6904455742597784,0.4382035765649133,-0.9990076891733383
79,134.0,231.42401501970633,374.3524160652723,255.78197298113912,372.66531773772545,24.35795796143279,-1.6870983275468348,18.14029744997609,-1.1300372246870438,41.926688857386154,-8.946156425340405,1.0,42.870513798305794,18.175460811291344,0.9890665536418016
79,135.0,230.86857213392128,375.25256016209636,244.83432087051014,373.5704994856263,13.965748736588864,-1.68206067647003,-10.392209224843924,0.00503765107680465,-0.5554428857850553,0.9001440968240786,1.0,1.0577221726032153,10.392210445851235,0.525543646637966
79,136.0,230.72197891179297,375.5418279914908,251.7410871261561,374.36773576588166,21.019108214363115,-1.1740922256091153,7.053359477774251,0.5079684508609148,-0.1465932221283026,0.28926782939441864,1.0,0.32429222916455513,7.0716272434127845,-0.38679889682863156
